,Diameter (km),Long,Lat,tag
1918,8.75434489527,-23.4677468431,-58.241450707,standard
1919,6.57800182071,-22.0793771364,-51.9884022574,standard
1920,10.4229507501,-20.6106204908,-52.0605517067,standard
1921,5.19064050782,-20.2344126483,-52.3568798018,standard
1922,6.82556827325,-19.4265964933,-51.7500513983,standard
1923,7.50237865528,-19.0246209903,-52.6673801102,standard
1924,5.73626729966,-18.1227528746,-51.3377688311,standard
1925,7.05045046582,-17.6434743902,-51.2012002307,standard
1926,5.31155370284,-19.126403249,-53.1814449362,standard
1927,9.71679893169,-17.6035345165,-51.7204185888,standard
1928,6.21596359345,-15.9943441215,-51.3725551727,standard
1929,6.56525662335,-16.0845309331,-52.5449837231,?
1930,7.15750811504,-15.4235904426,-53.2471524703,standard
1931,5.0845370044,-14.5088384967,-53.0719323793,standard
1932,16.8886919139,-14.0037923519,-52.023188599,standard
1933,7.5267605935,-15.2960405234,-51.1960466986,?
1934,7.00453478611,-15.6387504074,-50.9229094979,?
1935,6.88143576404,-12.9962768284,-50.8829696242,standard
1936,14.7658075534,-12.7334466918,-51.4988167089,standard
1937,5.60235655542,-12.3160105926,-52.2112925203,standard
1938,14.5016234698,-10.0909731129,-52.5024670834,standard
1939,9.21973148439,-9.53181488113,-51.0156730755,standard
1940,6.53235486769,-9.18395146508,-51.961346214,standard
1941,11.4226512528,-10.4555855082,-54.8589196314,standard
1942,5.91914644351,-15.2187375421,-54.5316703437,?
1943,8.42731050932,-20.4856473377,-54.1335599897,?
1944,7.26876332612,-22.0806655194,-55.4451339066,standard
1945,5.34772136804,-21.8371611282,-55.8548397077,standard
1946,8.16886927758,-19.1160961849,-56.2709874239,standard
1947,5.30808983005,-16.2404252788,-56.0004269892,standard
1948,8.98026937183,-12.8764572073,-57.2913867777,standard
1949,7.42737665436,-10.9683619511,-55.7749599603,standard
1950,12.4065955786,-16.4865064361,-57.5593704463,standard
1951,6.83784852503,-16.2198111505,-58.0244767174,standard
1952,5.04876180999,-17.3909513178,-59.1531002451,standard
1953,11.7267968877,-18.1614043652,-58.1546034027,standard
1954,7.2812959641,-19.1624779737,-59.1144487544,standard
1955,6.49000475282,-7.74934562914,-51.3685565122,standard
1956,5.62494963265,-7.10569673062,-52.3882248296,standard
1957,6.55863891054,-6.71495769035,-52.7053657629,?
1958,14.2645667671,-5.98031476875,-51.915858798,?
1959,9.13824487875,-6.32421865008,-52.3935774192,?
1960,5.33476033061,-5.00881975768,-52.6812791098,?
1961,7.77788049668,-0.41094529756,-51.0059185673,standard
1962,8.66491364724,-0.78830286384,-51.6375241392,standard
1963,5.32387166322,-5.74480082668,-53.1469544043,standard
1964,5.8975478941,-5.53203539037,-53.3168991239,standard
1965,17.692189129,-6.5343077916,-54.123802005,?
